iter,parameters_1
612.0,0.08965113013982773
613.0,0.08983040601015091
614.0,0.09000932425260544
615.0,0.09018788486719131
616.0,0.09036609530448914
617.0,0.0905439555644989
618.0,0.09072147309780121
619.0,0.09089864790439606
620.0,0.09107547998428345
621.0,0.09125196933746338
622.0,0.09142812341451645
623.0,0.09160394221544266
624.0,0.0917794331908226
625.0,0.09195459634065628
626.0,0.0921294316649437
627.0,0.09230393916368484
628.0,0.09247812628746033
629.0,0.09265199303627014
630.0,0.09282553941011429
631.0,0.09299877285957336
632.0,0.09317169338464737
633.0,0.0933443009853363
634.0,0.09351660311222076
635.0,0.09368859976530075
636.0,0.09386029094457626
637.0,0.0940316766500473
638.0,0.09420276433229446
639.0,0.09437355399131775
640.0,0.09454404562711716
641.0,0.09471424669027328
642.0,0.09488415718078613
643.0,0.0950537770986557
644.0,0.09522311389446259
645.0,0.09539216011762619
646.0,0.09556092321872711
647.0,0.09572941064834595
648.0,0.0958976149559021
649.0,0.09606554359197617
650.0,0.09623319655656815
651.0,0.09640057384967804
652.0,0.09656768292188644
653.0,0.09673452377319336
654.0,0.09690109640359879
655.0,0.09706740081310272
656.0,0.09723344445228577
657.0,0.09739922732114792
658.0,0.09756474941968918
659.0,0.09773001074790955
660.0,0.09789501875638962
661.0,0.0980597734451294
662.0,0.09822427481412888
663.0,0.09838852286338806
664.0,0.09855252504348755
665.0,0.09871628135442734
666.0,0.09887979179620743
667.0,0.09904305636882782
668.0,0.09920607507228851
669.0,0.0993688553571701
670.0,0.0995313972234726
671.0,0.09969370067119598
672.0,0.09985576570034027
673.0,0.10001759976148605
674.0,0.10017920285463333
675.0,0.1003405749797821
676.0,0.10050171613693237
677.0,0.10066262632608414
678.0,0.100823312997818
679.0,0.10098377615213394
680.0,0.10114401578903198
681.0,0.10130403190851212
682.0,0.10146382451057434
683.0,0.10162340104579926
684.0,0.10178276151418686
685.0,0.10194190591573715
686.0,0.10210083425045013
687.0,0.1022595539689064
688.0,0.10241805762052536
689.0,0.1025763526558876
690.0,0.10273443907499313
691.0,0.10289231687784195
692.0,0.10304998606443405
693.0,0.10320745408535004
694.0,0.10336471349000931
695.0,0.10352177172899246
696.0,0.1036786288022995
697.0,0.10383529216051102
698.0,0.10399175435304642
699.0,0.1041480153799057
700.0,0.10430408269166946
701.0,0.10445995628833771
702.0,0.10461563616991043
703.0,0.10477112233638763
704.0,0.10492642223834991
705.0,0.10508152842521667
706.0,0.10523644834756851
707.0,0.10539118200540543
708.0,0.10554572939872742
709.0,0.10570009052753448
710.0,0.10585426539182663
711.0,0.10600826144218445
712.0,0.10616207122802734
713.0,0.10631570219993591
714.0,0.10646915435791016
715.0,0.10662242770195007
716.0,0.10677552223205566
717.0,0.10692844539880753
718.0,0.10708118975162506
719.0,0.10723376274108887
720.0,0.10738616436719894
721.0,0.10753839462995529
722.0,0.10769045352935791
723.0,0.1078423410654068
724.0,0.10799405723810196
725.0,0.10814560949802399
726.0,0.10829699039459229
727.0,0.10844820737838745
728.0,0.10859926044940948
729.0,0.10875014960765839
730.0,0.10890087485313416
731.0,0.10905143618583679
732.0,0.1092018410563469
733.0,0.10935208201408386
734.0,0.1095021665096283
735.0,0.1096520945429802
736.0,0.10980186611413956
737.0,0.10995148122310638
738.0,0.11010093986988068
739.0,0.11025024205446243
740.0,0.11039938777685165
741.0,0.11054838448762894
742.0,0.11069722473621368
743.0,0.11084591597318649
744.0,0.11099445819854736
745.0,0.1111428514122963
746.0,0.11129109561443329
747.0,0.11143919080495834
748.0,0.11158713698387146
749.0,0.11173494160175323
750.0,0.11188259720802307
751.0,0.11203011125326157
752.0,0.11217747628688812
753.0,0.11232469975948334
754.0,0.11247178167104721
755.0,0.11261872202157974
756.0,0.11276552081108093
757.0,0.11291217803955078
758.0,0.11305870115756989
759.0,0.11320508271455765
760.0,0.11335133016109467
761.0,0.11349743604660034
762.0,0.11364340782165527
763.0,0.11378924548625946
764.0,0.1139349490404129
765.0,0.1140805184841156
766.0,0.11422595381736755
767.0,0.11437125504016876
768.0,0.11451642215251923
769.0,0.11466146260499954
770.0,0.11480636894702911
771.0,0.11495114862918854
772.0,0.11509579420089722
773.0,0.11524031311273575
774.0,0.11538470536470413
775.0,0.11552897095680237
776.0,0.11567310988903046
777.0,0.1158171221613884
778.0,0.11596100777387619
779.0,0.11610476672649384
780.0,0.11624840646982193
781.0,0.11639191955327988
782.0,0.11653531342744827
783.0,0.11667858064174652
784.0,0.11682172864675522
785.0,0.11696475744247437
786.0,0.11710766702890396
787.0,0.11725044995546341
788.0,0.1173931136727333
789.0,0.11753566563129425
790.0,0.11767809838056564
791.0,0.11782041192054749
792.0,0.11796260625123978
793.0,0.11810468882322311
794.0,0.1182466521859169
795.0,0.11838850378990173
796.0,0.11853023618459702
797.0,0.11867185682058334
798.0,0.11881336569786072
799.0,0.11895475536584854
800.0,0.11909603327512741
801.0,0.11923719942569733
802.0,0.11937825381755829
803.0,0.1195191964507103
804.0,0.11966003477573395
805.0,0.11980076134204865
806.0,0.11994137614965439
807.0,0.12008188664913177
808.0,0.12022228538990021
809.0,0.12036257982254028
810.0,0.1205027624964714
811.0,0.12064284086227417
812.0,0.12078281491994858
813.0,0.12092267721891403
814.0,0.12106243520975113
815.0,0.12120208889245987
816.0,0.12134163826704025
817.0,0.12148108333349228
818.0,0.12162042409181595
819.0,0.12175966054201126
820.0,0.12189880013465881
821.0,0.12203783541917801
822.0,0.12217676639556885
823.0,0.12231560051441193
824.0,0.12245433032512665
825.0,0.12259296327829361
826.0,0.12273149192333221
827.0,0.12286992371082306
828.0,0.12300825864076614
829.0,0.12314648926258087
830.0,0.12328462302684784
831.0,0.12342265993356705
832.0,0.1235605999827385
833.0,0.12369844317436218
834.0,0.12383618950843811
835.0,0.12397383898496628
836.0,0.12411139160394669
837.0,0.12424885481595993
838.0,0.12438622117042542
839.0,0.12452349066734314
840.0,0.1246606707572937
841.0,0.1247977539896965
842.0,0.12493474781513214
843.0,0.12507164478302002
844.0,0.12520845234394073
845.0,0.1253451704978943
846.0,0.12548179924488068
847.0,0.1256183236837387
848.0,0.12575475871562958
849.0,0.12589110434055328
850.0,0.12602736055850983
851.0,0.1261635273694992
852.0,0.12629960477352142
853.0,0.12643559277057648
854.0,0.12657149136066437
855.0,0.1267073005437851
856.0,0.12684302031993866
857.0,0.12697865068912506
858.0,0.1271142065525055
859.0,0.12724967300891876
860.0,0.12738505005836487
861.0,0.1275203377008438
862.0,0.1276555359363556
863.0,0.1277906596660614
864.0,0.12792569398880005
865.0,0.12806063890457153
866.0,0.12819550931453705
867.0,0.1283302903175354
868.0,0.1284649819135666
869.0,0.1285995990037918
870.0,0.12873412668704987
871.0,0.12886857986450195
872.0,0.12900294363498688
873.0,0.12913721799850464
